DATE,HOME_TEAM,AWAY_TEAM,HOME_LEAGUE_ID,AWAY_LEAGUE_ID,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,RESULT,HOME_TARGET,AWAY_TARGET,HOME_FOULS,AWAY_FOULS,HOME_CORNERS,AWAY_CORNERS,HOME_YELLOW,AWAY_YELLOW,HOME_RED,AWAY_RED
6/19/2025,Palmeiras,Al Ahly,BRA,EGY,2,0,H,1,2,16,14,6,3,4,3,0,0
6/19/2025,Inter Miami,Porto,USA,P1,2,1,H,5,3,13,15,2,4,0,0,0,0
6/19/2025,Seattle Sounders,Ath Madrid,USA,SP1,1,3,A,4,7,11,13,4,2,1,2,0,0
6/19/2025,Paris SG,Botafogo RJ,F1,BRA,0,1,A,2,4,11,15,10,1,0,2,0,0
6/20/2025,Bayern Munich,Boca Juniors,D1,ARG,2,1,H,4,3,13,18,6,1,1,3,0,0
6/20/2025,Benfica,Auckland City,P1,NZ,6,0,H,16,2,11,6,7,1,3,0,0,0
6/20/2025,Flamengo RJ,Chelsea,BRA,E0,3,1,H,9,4,15,14,8,5,3,3,0,1
6/20/2025,Los Angeles FC,Esperance,USA,TUN,0,1,A,2,5,9,14,2,2,1,2,0,0
6/21/2025,Inter,Urawa Reds,I1,JAP,2,1,H,4,3,8,15,5,1,0,3,0,0
6/21/2025,River Plate,Monterrey,ARG,MEX,0,0,D,6,2,22,18,9,2,5,5,1,0
6/21/2025,Fluminense,Ulsan,BRA,KOR,4,2,H,8,3,4,14,12,4,1,0,0,0
6/21/2025,Mamelodi Sundowns,Dortmund,SA,D1,3,4,A,4,6,9,15,2,4,2,2,0,0
6/22/2025,Juventus,Wydad Casablanca,I1,MOR,4,1,H,3,6,15,17,5,4,1,2,0,0
6/22/2025,Man City,Al-Ain,E0,UAE,6,0,H,5,4,11,14,9,1,1,2,0,0
6/22/2025,Real Madrid,Pachuca,SP1,MEX,3,1,H,3,11,8,16,2,7,0,1,1,0
6/22/2025,Salzburg,Al Hilal,AUT,KSA,0,0,D,6,4,10,4,6,11,2,0,0,0
