DATE,HOME_TEAM,AWAY_TEAM,HOME_LEAGUE_ID,AWAY_LEAGUE_ID,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,RESULT,HOME_TARGET,AWAY_TARGET,HOME_FOULS,AWAY_FOULS,HOME_CORNERS,AWAY_CORNERS,HOME_YELLOW,AWAY_YELLOW,HOME_RED,AWAY_RED
5/24/2025,Nagoya Grampus,Urawa Reds,JAP,JAP,2,1,H,8,2,9,10,7,2,0,0,0,0
5/21/2025,Kawasaki Frontale,Urawa Reds,JAP,JAP,2,2,D,6,4,7,8,4,4,1,3,0,0
6/1/2025,Pyramids,Mamelodi Sundowns,EGY,SA,2,1,H,4,4,10,13,2,7,3,3,0,0
5/23/2025,Mamelodi Sundowns,,SA,EGY,1,1,D,2,3,9,17,3,3,0,1,0,0
5/18/2025,Mamelodi Sundowns,Magesi,SA,SA,2,0,H,4,1,10,12,4,1,0,2,0,0
5/17/2025,Dortmund,Holstein Kiel,D1,D1,3,0,H,6,2,12,6,7,1,3,1,0,1
5/11/2025,Leverkusen,Dortmund,D1,D1,2,4,A,10,5,7,8,12,0,0,2,0,0
5/3/2025,Dortmund,Wolfsburg,D1,D1,4,0,H,5,2,13,6,4,3,0,1,0,0
6/1/2025,Internacional,Fluminense,BRA,BRA,0,2,A,4,3,13,10,9,1,1,0,0,0
5/29/2025,Fluminense,Once Caldas,BRA,COL,2,0,H,6,4,7,15,5,5,0,0,0,0
5/24/2025,Fluminense,Vasco,BRA,BRA,2,1,H,5,2,11,16,6,2,4,3,0,0
5/31/2025,Jeonbuk,Ulsan,KOR,KOR,3,1,H,7,4,11,5,4,6,2,1,0,0
5/28/2025,Gwangju,Ulsan,KOR,KOR,1,1,D,7,3,15,21,7,1,2,3,0,0
5/24/2025,Ulsan,Gimcheon,KOR,KOR,3,2,H,8,7,3,11,5,4,1,2,0,0
5/25/2025,Venezia,Juventus,I1,I1,2,3,A,5,5,10,18,6,6,1,2,0,0
5/18/2025,Juventus,Udinese,I1,I1,2,0,H,7,2,9,13,12,3,0,3,0,0
5/10/2025,Lazio,Juventus,I1,I1,1,1,D,6,3,14,10,3,3,5,4,0,1
5/25/2025,Fulham,Man City,E0,E0,0,2,A,3,5,11,5,1,6,0,0,0,0
5/20/2025,Man City,Bournemouth,E0,E0,3,1,H,5,2,7,13,3,1,1,3,1,1
5/17/2025,Crystal Palace,Man City,E0,E0,1,0,H,2,6,7,7,1,7,1,5,0,0
6/10/2025,Touarga,Wydad Casablanca,MOR,MOR,2,0,H,,,,,,,,,,
5/27/2025,Wydad Casablanca,Sevilla,MOR,SP1,0,1,A,,,,,,,1,2,0,0
5/23/2025,Al-Nasr,Al-Ain,UAE,UAE,0,2,A,2,6,7,14,4,4,2,1,0,0
5/19/2025,Al-Ain,Ajman,UAE,UAE,0,0,D,4,1,12,17,9,2,3,4,0,0
5/12/2025,Sharjah,Al-Ain,UAE,UAE,0,3,A,2,7,7,10,1,5,4,1,1,0
5/24/2025,Salzburg,SK Rapid,AUT,AUT,4,2,H,7,6,4,7,2,5,0,1,0,0
