DATE,HOME_TEAM,AWAY_TEAM,HOME_LEAGUE_ID,AWAY_LEAGUE_ID,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,RESULT,HOME_TARGET,AWAY_TARGET,HOME_FOULS,AWAY_FOULS,HOME_CORNERS,AWAY_CORNERS,HOME_YELLOW,AWAY_YELLOW,HOME_RED,AWAY_RED
6/28/2025,Palmeias,Botafogo RJ,BRA,BRA,0,0,D,3,1,8,17,13,2,2,4,0,0
6/28/2025,Benfica,Chelsea,P1,E0,1,1,D,2,6,9,19,0,8,5,1,0,0
6/29/2025,Paris SG,Inter Miami,F1,USA,4,0,H,9,3,9,10,7,3,0,3,0,0
6/29/2025,Flamengo RJ,Bayern Munich,BRA,D1,2,4,A,3,4,18,19,4,4,4,5,0,0
6/30/2025,Inter,Fluminense,I1,BRA,0,2,A,4,4,15,16,5,2,2,4,0,0
6/30/2025,Man City,Al Hilal,E0,KSA,2,2,D,13,2,14,4,15,2,2,0,0,0
7/1/2025,Real Madrid,Juventus,SP1,I1,1,0,H,6,3,11,5,11,4,1,0,0,0
7/1/2025,Dortmund,Monterrey,D1,MEX,2,1,H,3,7,13,9,3,5,2,0,0,0
