iter	Passed	Remaining
426	2721	465
427	2727	458
428	2733	452
429	2739	445
430	2745	439
431	2751	433
432	2757	426
433	2763	420
434	2769	413
435	2775	407
436	2782	401
437	2788	394
438	2794	388
439	2800	381
440	2806	375
441	2812	369
442	2817	362
443	2825	356
444	2831	349
445	2837	343
446	2843	337
447	2849	330
448	2855	324
449	2861	317
450	2867	311
451	2873	305
452	2878	298
453	2885	292
454	2891	285
455	2896	279
456	2903	273
457	2908	266
458	2914	260
459	2921	254
460	2927	247
461	2933	241
462	2938	234
463	2944	228
464	2950	222
465	2956	215
466	2963	209
467	2969	203
468	2975	196
469	2982	190
470	2988	183
471	2993	177
472	2999	171
473	3005	164
474	3011	158
475	3017	152
476	3022	145
477	3028	139
478	3034	133
479	3040	126
480	3046	120
481	3052	113
482	3058	107
483	3064	101
484	3069	94
485	3075	88
486	3081	82
487	3087	75
488	3092	69
489	3100	63
490	3106	56
491	3113	50
492	3119	44
493	3125	37
494	3131	31
495	3137	25
496	3143	18
497	3149	12
498	3155	6
499	3161	0
