iter	Accuracy	Logloss
481	0.7382522385	0.5256829509
482	0.7381828278	0.5255288863
483	0.7381828278	0.5253655897
484	0.7381828278	0.5252771679
485	0.7382522385	0.5252246227
486	0.7392239883	0.5249418111
487	0.7389463455	0.52479687
488	0.7387381134	0.5246866928
489	0.7389463455	0.5244968628
490	0.7388769348	0.5243176453
491	0.7397098633	0.5240508704
492	0.7399180954	0.5238209097
493	0.7408898452	0.5234990954
494	0.7406816131	0.5233615278
495	0.7406816131	0.5232980731
496	0.7410980773	0.5231412036
497	0.7413063094	0.5229429165
498	0.7413063094	0.5228187665
499	0.7413063094	0.5228141934
